epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,865.726,1.50567,0.76925,0.93716,0.59984,0.57086,0.53348,0.29729,1.50243,0.9619,0.96028,0.000848969,0.000848969,0.000848969
43,881.439,1.54814,0.80792,0.94081,0.5555,0.57443,0.53051,0.29001,1.53969,1.04539,0.95279,0.000834822,0.000834822,0.000834822
44,902.466,1.51104,0.77629,0.93901,0.54195,0.57474,0.51876,0.29007,1.56533,0.93706,0.95181,0.000820675,0.000820675,0.000820675
45,922.279,1.53648,0.78399,0.93657,0.55749,0.55219,0.51999,0.29047,1.52816,1.02849,0.95333,0.000806528,0.000806528,0.000806528
46,939.857,1.47702,0.7527,0.93781,0.59871,0.59525,0.55798,0.30539,1.62398,1.04393,0.99484,0.00079238,0.00079238,0.00079238
47,967.72,1.50202,0.7632,0.93499,0.56102,0.56858,0.51764,0.28448,1.58417,1.06741,0.98806,0.000778233,0.000778233,0.000778233
48,1142.28,1.5052,0.75412,0.93803,0.58834,0.58559,0.54535,0.30082,1.5325,1.01017,0.95215,0.000764086,0.000764086,0.000764086
49,1221.73,1.50481,0.76366,0.93035,0.59948,0.58123,0.55106,0.3051,1.55499,0.89949,0.94023,0.000749939,0.000749939,0.000749939
50,1239.49,1.47424,0.74075,0.93394,0.56221,0.57446,0.53909,0.29949,1.63832,1.06561,0.97459,0.000735792,0.000735792,0.000735792
51,1264.49,1.46608,0.74238,0.93479,0.62602,0.57899,0.56035,0.31291,1.51483,0.95173,0.94646,0.000721645,0.000721645,0.000721645
52,1281.68,1.46897,0.74094,0.93762,0.57608,0.57637,0.54033,0.30146,1.6214,1.01778,0.98896,0.000707498,0.000707498,0.000707498
53,1298.58,1.49895,0.76854,0.93227,0.5781,0.54282,0.51633,0.28786,1.54914,0.99714,0.95206,0.000693351,0.000693351,0.000693351
54,1317.25,1.46416,0.74439,0.92891,0.60294,0.58331,0.55484,0.31031,1.5031,1.06429,0.97986,0.000679204,0.000679204,0.000679204
55,1334.46,1.49679,0.74616,0.93274,0.59011,0.59318,0.55438,0.30433,1.52426,0.96732,0.96399,0.000665057,0.000665057,0.000665057
56,1354.18,1.49395,0.75282,0.93084,0.60736,0.57849,0.54592,0.30044,1.51914,0.98263,0.95726,0.000650909,0.000650909,0.000650909
57,1373.57,1.45112,0.71999,0.92918,0.60261,0.58264,0.54674,0.30199,1.51611,0.97754,0.94981,0.000636762,0.000636762,0.000636762
58,1390.42,1.45691,0.73146,0.92961,0.61219,0.60252,0.55525,0.30803,1.49216,0.95653,0.95604,0.000622615,0.000622615,0.000622615
59,1407.2,1.49274,0.75888,0.93162,0.61269,0.57036,0.54437,0.30035,1.62744,1.05268,0.98842,0.000608468,0.000608468,0.000608468
60,1424.86,1.43914,0.72192,0.92783,0.62217,0.57174,0.55528,0.31128,1.6104,1.00092,0.97307,0.000594321,0.000594321,0.000594321
61,1442.55,1.46189,0.74122,0.92977,0.57928,0.60947,0.55835,0.31065,1.50665,0.96528,0.94929,0.000580174,0.000580174,0.000580174
