epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1134.02,1.49094,0.75876,0.94062,0.65434,0.56991,0.5786,0.31192,1.53829,1.07218,0.97736,0.000848969,0.000848969,0.000848969
43,1151.49,1.52505,0.79443,0.94103,0.62043,0.57109,0.55437,0.30644,1.56848,1.03961,0.98698,0.000834822,0.000834822,0.000834822
44,1173.54,1.4898,0.76466,0.9419,0.61055,0.58379,0.56452,0.30808,1.50431,0.94459,0.95974,0.000820675,0.000820675,0.000820675
45,1213.11,1.51397,0.76942,0.93769,0.59716,0.57563,0.55128,0.30533,1.56941,1.0101,0.98676,0.000806528,0.000806528,0.000806528
46,1234.38,1.45762,0.74017,0.93831,0.61356,0.5655,0.55554,0.30938,1.63707,1.04152,0.98683,0.00079238,0.00079238,0.00079238
47,1265.22,1.47796,0.75375,0.93551,0.60701,0.58331,0.55283,0.30412,1.57639,0.99201,0.96813,0.000778233,0.000778233,0.000778233
48,1290.52,1.48294,0.74359,0.94025,0.65061,0.5633,0.56362,0.31914,1.56364,1.03926,0.97819,0.000764086,0.000764086,0.000764086
49,1315.21,1.48676,0.75504,0.93176,0.61311,0.58777,0.56611,0.32229,1.52407,0.98577,0.97267,0.000749939,0.000749939,0.000749939
50,1332.89,1.44829,0.72704,0.93322,0.62432,0.59323,0.57338,0.31263,1.52564,1.00606,0.97545,0.000735792,0.000735792,0.000735792
51,1359.34,1.45243,0.72972,0.93583,0.64275,0.58388,0.57781,0.32171,1.59718,0.96334,0.98668,0.000721645,0.000721645,0.000721645
52,1378.16,1.44499,0.7246,0.93921,0.66068,0.57443,0.5771,0.31825,1.60683,0.96912,0.99396,0.000707498,0.000707498,0.000707498
53,1396.82,1.48349,0.75648,0.93401,0.63463,0.5717,0.55413,0.30412,1.59306,0.96813,0.98065,0.000693351,0.000693351,0.000693351
54,1415.72,1.44475,0.72707,0.9311,0.62038,0.59297,0.57671,0.3219,1.51399,1.04042,0.96983,0.000679204,0.000679204,0.000679204
55,1435.51,1.47185,0.73122,0.93326,0.62857,0.59856,0.57972,0.32078,1.5157,1.05464,0.97028,0.000665057,0.000665057,0.000665057
56,1455.82,1.47904,0.73823,0.93551,0.63302,0.58813,0.57391,0.31608,1.51717,0.97293,0.94623,0.000650909,0.000650909,0.000650909
57,1473.7,1.42589,0.70557,0.92813,0.6448,0.5551,0.56229,0.3131,1.59315,0.97909,0.9766,0.000636762,0.000636762,0.000636762
58,1492.11,1.43409,0.71423,0.93068,0.64582,0.58393,0.58237,0.32414,1.48233,1.0052,0.96327,0.000622615,0.000622615,0.000622615
59,1510.65,1.47153,0.74183,0.93183,0.62263,0.5859,0.56408,0.30816,1.62395,0.99214,0.98357,0.000608468,0.000608468,0.000608468
60,1530.58,1.41947,0.70609,0.92768,0.62636,0.59971,0.58388,0.32526,1.49911,1.01289,0.96352,0.000594321,0.000594321,0.000594321
61,1552.56,1.44447,0.72753,0.93076,0.63103,0.60688,0.5845,0.32514,1.56766,0.93443,0.97375,0.000580174,0.000580174,0.000580174
62,1582.19,1.46478,0.72313,0.92747,0.64873,0.59703,0.58967,0.33184,1.60057,0.93114,0.98801,0.000566027,0.000566027,0.000566027
63,1607.87,1.44623,0.70865,0.92661,0.66652,0.59346,0.5889,0.32371,1.50783,1.01369,0.9663,0.00055188,0.00055188,0.00055188
64,1639.51,1.4497,0.71505,0.92399,0.63802,0.5955,0.58681,0.32625,1.52483,0.96168,0.96873,0.000537733,0.000537733,0.000537733
65,1657.95,1.4085,0.69687,0.92567,0.65504,0.59467,0.58299,0.32832,1.53896,1.01836,0.96502,0.000523586,0.000523586,0.000523586
66,1675.76,1.42257,0.70685,0.91937,0.66464,0.58054,0.57641,0.32545,1.40314,0.98787,0.9466,0.000509438,0.000509438,0.000509438
67,1693.61,1.39949,0.69095,0.92684,0.63654,0.61579,0.59339,0.32334,1.57605,0.99348,0.97777,0.000495291,0.000495291,0.000495291
68,1711.67,1.41239,0.69723,0.9215,0.66407,0.60051,0.60029,0.32844,1.52945,0.87847,0.95587,0.000481144,0.000481144,0.000481144
69,1729.42,1.40986,0.68875,0.92496,0.67736,0.60157,0.60283,0.33145,1.56727,0.93197,0.97958,0.000466997,0.000466997,0.000466997
70,1757.18,1.41847,0.70287,0.92135,0.61305,0.61294,0.58515,0.32704,1.61873,0.94302,0.98971,0.00045285,0.00045285,0.00045285
71,1776.78,1.39564,0.67606,0.91905,0.65453,0.60184,0.59829,0.33516,1.56796,0.94818,0.98228,0.000438703,0.000438703,0.000438703
72,1797.09,1.45163,0.70749,0.91843,0.6384,0.59554,0.58763,0.32858,1.60916,0.99016,0.98911,0.000424556,0.000424556,0.000424556
73,1816.48,1.34521,0.66021,0.92322,0.65886,0.58956,0.59279,0.3288,1.51207,0.89848,0.9538,0.000410409,0.000410409,0.000410409
74,1833.92,1.3989,0.68056,0.9169,0.63733,0.6024,0.59283,0.33141,1.48168,0.84239,0.94397,0.000396262,0.000396262,0.000396262
75,1850.9,1.38028,0.67515,0.91689,0.65292,0.60406,0.59549,0.33712,1.5074,0.95047,0.96666,0.000382115,0.000382115,0.000382115
76,1869.38,1.40881,0.68067,0.91421,0.64135,0.60919,0.59424,0.33039,1.57524,0.96842,0.9787,0.000367967,0.000367967,0.000367967
77,1994.57,1.39158,0.67541,0.91727,0.63524,0.61529,0.60301,0.3358,1.55311,0.8855,0.97047,0.00035382,0.00035382,0.00035382
78,2013.81,1.37739,0.67402,0.91407,0.65835,0.61116,0.60134,0.3369,1.50603,0.93528,0.9619,0.000339673,0.000339673,0.000339673
79,2030.89,1.39263,0.67787,0.9155,0.65896,0.59602,0.59508,0.33567,1.49047,0.96723,0.95954,0.000325526,0.000325526,0.000325526
80,2052.87,1.39926,0.67927,0.91743,0.66959,0.60123,0.60325,0.33742,1.52082,0.96907,0.97698,0.000311379,0.000311379,0.000311379
81,2071.28,1.38254,0.66757,0.9089,0.67061,0.59772,0.60258,0.33788,1.48048,0.99381,0.95689,0.000297232,0.000297232,0.000297232
82,2089.38,1.4056,0.67935,0.91529,0.64855,0.61736,0.60114,0.33915,1.4512,0.9703,0.95426,0.000283085,0.000283085,0.000283085
83,2112.37,1.3655,0.66173,0.90889,0.66848,0.59234,0.59739,0.3364,1.53158,0.94784,0.96807,0.000268938,0.000268938,0.000268938
84,2135.26,1.36917,0.66245,0.91573,0.66831,0.60865,0.60411,0.33822,1.41686,0.97275,0.94854,0.000254791,0.000254791,0.000254791
85,2155.8,1.4031,0.68054,0.91586,0.65073,0.62044,0.60719,0.33875,1.57039,0.92118,0.97544,0.000240644,0.000240644,0.000240644
86,2174.56,1.38387,0.67271,0.90883,0.66694,0.61474,0.60434,0.33742,1.43549,0.86861,0.94656,0.000226497,0.000226497,0.000226497
87,2195.89,1.37581,0.65806,0.91347,0.65831,0.61621,0.60597,0.34062,1.54273,0.92306,0.9637,0.000212349,0.000212349,0.000212349
88,2214.87,1.38296,0.66148,0.90706,0.63952,0.62578,0.60787,0.34524,1.44075,0.9652,0.94804,0.000198202,0.000198202,0.000198202
89,2232.44,1.37773,0.65547,0.90974,0.6537,0.61316,0.6043,0.34285,1.51629,0.92656,0.95158,0.000184055,0.000184055,0.000184055
90,2250.3,1.41542,0.68353,0.91098,0.65346,0.61212,0.602,0.34238,1.49316,0.92472,0.95943,0.000169908,0.000169908,0.000169908
91,2286.96,1.3805,0.66161,0.9146,0.66955,0.59634,0.59762,0.33778,1.4073,0.98002,0.94069,0.000155761,0.000155761,0.000155761
92,2313.73,1.37221,0.65142,0.9146,0.66561,0.60969,0.6019,0.34072,1.39859,0.95072,0.93521,0.000141614,0.000141614,0.000141614
93,2331.5,1.37212,0.65364,0.91475,0.65983,0.60668,0.60005,0.33884,1.4769,0.96011,0.95319,0.000127467,0.000127467,0.000127467
94,2356.38,1.35847,0.64033,0.91236,0.68327,0.60952,0.61031,0.34593,1.41067,0.97887,0.94256,0.00011332,0.00011332,0.00011332
95,2373.61,1.37771,0.6492,0.91078,0.66412,0.60047,0.6015,0.33961,1.38015,0.9655,0.9372,9.91726e-05,9.91726e-05,9.91726e-05
96,2390.21,1.33563,0.62952,0.9069,0.67527,0.61045,0.60874,0.34375,1.40244,0.96869,0.94076,8.50255e-05,8.50255e-05,8.50255e-05
97,2415.41,1.34232,0.6362,0.90528,0.6704,0.61042,0.60543,0.34372,1.37195,0.94841,0.93331,7.08784e-05,7.08784e-05,7.08784e-05
98,2432.75,1.34842,0.63309,0.91194,0.66324,0.61732,0.60564,0.34292,1.38956,0.93893,0.9335,5.67313e-05,5.67313e-05,5.67313e-05
99,2452.07,1.34423,0.63353,0.91397,0.66495,0.61084,0.60508,0.34314,1.36723,0.96013,0.93408,4.25842e-05,4.25842e-05,4.25842e-05
100,2469.57,1.33989,0.62678,0.90356,0.66276,0.60953,0.60677,0.34393,1.37419,0.95391,0.93431,2.84371e-05,2.84371e-05,2.84371e-05
