epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.08,1.47177,0.74149,0.93935,0.64095,0.5684,0.55839,0.30613,1.49552,0.91243,0.95834,0.000848969,0.000848969,0.000848969
43,1364.1,1.51929,0.77989,0.94312,0.60308,0.59283,0.56272,0.30832,1.53266,0.88849,0.95283,0.000834822,0.000834822,0.000834822
44,1384.16,1.48152,0.74739,0.94216,0.62208,0.561,0.55555,0.30884,1.53308,0.96455,0.93053,0.000820675,0.000820675,0.000820675
45,1402.15,1.50404,0.75565,0.94092,0.59082,0.58905,0.54623,0.30852,1.54397,0.92941,0.96021,0.000806528,0.000806528,0.000806528
46,1420.46,1.44306,0.72158,0.9414,0.63481,0.5786,0.56058,0.31276,1.63739,0.95599,0.99146,0.00079238,0.00079238,0.00079238
47,1461.41,1.46627,0.73726,0.93723,0.60646,0.5758,0.54938,0.30562,1.51056,0.85709,0.94367,0.000778233,0.000778233,0.000778233
48,1478.42,1.45999,0.72186,0.93774,0.64573,0.56961,0.556,0.31172,1.53764,0.95581,0.95816,0.000764086,0.000764086,0.000764086
49,1495.68,1.4706,0.7322,0.93004,0.61798,0.58857,0.56377,0.31736,1.47549,0.87449,0.9311,0.000749939,0.000749939,0.000749939
50,1509.91,1.44046,0.71249,0.93499,0.63583,0.57059,0.56248,0.31407,1.50593,0.93962,0.93963,0.000735792,0.000735792,0.000735792
51,1528.52,1.43293,0.71339,0.93418,0.6443,0.58465,0.573,0.31806,1.64186,1.02245,0.99882,0.000721645,0.000721645,0.000721645
52,1542.75,1.43291,0.70871,0.93843,0.6337,0.58878,0.568,0.31295,1.50831,0.92153,0.93461,0.000707498,0.000707498,0.000707498
53,1556.85,1.46334,0.73737,0.93319,0.59891,0.54478,0.53005,0.29866,1.631,1.0323,0.97123,0.000693351,0.000693351,0.000693351
54,1571.57,1.43223,0.71074,0.93234,0.64683,0.58557,0.57602,0.32465,1.57203,0.99714,0.95232,0.000679204,0.000679204,0.000679204
55,1585.91,1.46029,0.71875,0.93245,0.62902,0.58918,0.57221,0.31469,1.61743,1.03055,0.96454,0.000665057,0.000665057,0.000665057
56,1600.21,1.46396,0.72357,0.93349,0.62785,0.58757,0.5695,0.31522,1.48508,0.82989,0.90582,0.000650909,0.000650909,0.000650909
57,1616.78,1.41471,0.68801,0.93069,0.64449,0.57839,0.57229,0.31732,1.47564,0.82416,0.90684,0.000636762,0.000636762,0.000636762
58,1631.03,1.41758,0.69933,0.9298,0.63814,0.59076,0.57875,0.31957,1.68931,0.97054,0.97526,0.000622615,0.000622615,0.000622615
59,1645.18,1.45752,0.72117,0.93264,0.60941,0.58149,0.55821,0.30944,1.61011,0.96324,0.96437,0.000608468,0.000608468,0.000608468
60,1659.15,1.40519,0.69143,0.9292,0.63707,0.59026,0.57686,0.32082,1.71485,0.95741,1.00818,0.000594321,0.000594321,0.000594321
61,1673,1.42719,0.70961,0.93225,0.63125,0.58764,0.57327,0.32369,1.62467,0.92143,0.98122,0.000580174,0.000580174,0.000580174
62,1689.99,1.44717,0.70504,0.92887,0.66768,0.58703,0.59405,0.32993,1.45516,0.79232,0.90405,0.000566027,0.000566027,0.000566027
63,1707.23,1.42726,0.69435,0.92773,0.64254,0.58333,0.57674,0.32227,1.59971,0.93311,0.98788,0.00055188,0.00055188,0.00055188
64,1729.55,1.43392,0.70293,0.92558,0.66295,0.58709,0.58399,0.32223,1.59489,0.99359,0.97973,0.000537733,0.000537733,0.000537733
65,1743.66,1.38613,0.67868,0.92441,0.63478,0.59088,0.57499,0.32378,1.45102,0.81408,0.89927,0.000523586,0.000523586,0.000523586
66,1757.69,1.40411,0.68648,0.9218,0.65073,0.59326,0.58169,0.32666,1.45749,0.7936,0.90119,0.000509438,0.000509438,0.000509438
67,1771.55,1.3803,0.6756,0.92669,0.64777,0.59421,0.58357,0.32292,1.47889,0.80345,0.90486,0.000495291,0.000495291,0.000495291
68,1785.69,1.39919,0.68292,0.9235,0.64267,0.57229,0.56841,0.31471,1.52097,0.87568,0.94781,0.000481144,0.000481144,0.000481144
69,1799.88,1.39153,0.67341,0.92379,0.65629,0.59419,0.5897,0.32738,1.60678,0.95546,0.97087,0.000466997,0.000466997,0.000466997
70,1814.02,1.40535,0.68741,0.92208,0.62595,0.60081,0.58027,0.3248,1.53376,0.92298,0.95565,0.00045285,0.00045285,0.00045285
71,1827.95,1.37881,0.66064,0.91917,0.6412,0.60158,0.58615,0.32731,1.53339,0.90024,0.9687,0.000438703,0.000438703,0.000438703
72,1845.13,1.43513,0.68929,0.91857,0.63665,0.58634,0.56991,0.32087,1.46476,0.82541,0.90627,0.000424556,0.000424556,0.000424556
